iter	MultiClass
0	0.9812926013
1	0.8899479598
2	0.815296311
3	0.752125187
4	0.6996213177
5	0.6542071882
6	0.6155061274
7	0.5815616151
8	0.5510359378
9	0.5237784493
10	0.5002864348
11	0.4792343852
12	0.460448919
13	0.4437495903
14	0.4277426677
15	0.4142712844
16	0.4015527475
17	0.3895259678
18	0.3795679892
19	0.3695078256
20	0.3614053105
21	0.3541515758
22	0.3456307403
23	0.338884345
24	0.3310770246
25	0.324126121
26	0.3184706013
27	0.3140583189
28	0.3091076892
29	0.3038034617
30	0.3000175278
31	0.2942607739
32	0.290564015
33	0.2868182492
34	0.2828123237
35	0.2784220793
36	0.2747997584
37	0.2722367282
38	0.2691015217
39	0.2663147522
40	0.2638862951
41	0.2605930776
42	0.2583145349
43	0.255841201
44	0.2541239091
45	0.2515994245
46	0.2498822894
47	0.2478170893
48	0.2460487217
49	0.2440091634
50	0.2422510608
51	0.2405976165
52	0.2380525247
53	0.2365763981
54	0.2347128741
55	0.2330290651
56	0.2316293702
57	0.229656576
58	0.2280557336
59	0.2271295499
60	0.2259717247
61	0.2248116017
62	0.2232430931
63	0.2222456557
64	0.2209415182
65	0.2198870307
66	0.2189589877
67	0.2179497186
68	0.2165315523
69	0.2154670037
70	0.2142663588
71	0.213193636
72	0.2125039866
73	0.2113453527
74	0.2105577149
75	0.2093337076
76	0.2080282026
77	0.2072040824
78	0.2061883546
79	0.2050578797
80	0.2042998972
81	0.2034266193
82	0.2023696876
83	0.2014442732
84	0.2006354145
85	0.1997012569
86	0.1991415533
87	0.1983756616
88	0.1973471447
89	0.1963107754
90	0.1954750016
91	0.1944532338
92	0.1930444339
93	0.1923959261
94	0.1918905554
95	0.1907755632
96	0.1902903307
97	0.1894936258
98	0.1890081389
99	0.1881068778
100	0.187405015
101	0.1868009744
102	0.1860759485
103	0.1852578833
104	0.1846094854
105	0.1840357887
106	0.1829765136
107	0.1824330899
108	0.1815872433
109	0.1809571165
110	0.1803676977
111	0.1796244458
112	0.1790510295
113	0.1785390793
114	0.1782475017
115	0.1777442866
116	0.1771449746
117	0.1762654231
118	0.1757681176
119	0.175519
120	0.1751681026
121	0.1748194432
122	0.1740825562
123	0.1737146361
124	0.1731694918
125	0.1725037817
126	0.1718568072
127	0.1715448249
128	0.1708190112
129	0.1701114889
130	0.1695033448
131	0.168945005
132	0.1681256752
133	0.1673327254
134	0.1669194692
135	0.166437575
136	0.165967172
137	0.1655864089
138	0.1648869872
139	0.1645592108
140	0.1641762604
141	0.1638345555
142	0.1634624636
143	0.1626266998
144	0.1621676333
145	0.1614572206
146	0.1610952223
147	0.1606923902
148	0.1603350156
149	0.1598428466
150	0.1593082013
151	0.1589143966
152	0.1584975269
153	0.1580902742
154	0.1576724226
155	0.1573313943
156	0.1568638584
157	0.1563697863
158	0.1561063877
159	0.1556044962
160	0.1552169819
161	0.1547925859
162	0.1544609242
163	0.1539839591
164	0.1535667286
165	0.1532086115
166	0.1526871915
167	0.1522042547
168	0.1517501493
169	0.1515483473
170	0.1512274796
171	0.150790467
172	0.1506023683
173	0.1502018248
174	0.1497981573
175	0.14947912
176	0.1491952184
177	0.1488979418
178	0.1486440739
179	0.1482572528
180	0.1480273105
181	0.1477227265
182	0.1474098883
183	0.1468601625
184	0.1464012788
185	0.1459624805
186	0.145721122
187	0.1451984879
188	0.1450159846
189	0.1445978146
190	0.1443197271
191	0.1440900373
192	0.14379835
193	0.1433560889
194	0.1431166445
195	0.1429554188
196	0.142556657
197	0.1422341803
198	0.1419242224
199	0.1416514675
