iter	Passed	Remaining
0	331	65991
1	491	48658
2	680	44695
3	846	41494
4	1017	39685
5	1160	37511
6	1296	35736
7	1437	34500
8	1590	33750
9	1735	32975
10	1881	32322
11	2016	31592
12	2151	30954
13	2292	30459
14	2461	30360
15	2662	30619
16	2851	30694
17	3061	30956
18	3260	31055
19	3476	31291
20	3626	30909
21	3771	30512
22	3911	30097
23	4048	29685
24	4174	29220
25	4298	28767
26	4425	28356
27	4543	27907
28	4661	27487
29	4791	27153
30	4925	26851
31	5058	26556
32	5179	26210
33	5301	25882
34	5433	25616
35	5553	25300
36	5676	25005
37	5800	24729
38	5966	24629
39	6113	24454
40	6263	24291
41	6403	24091
42	6529	23841
43	6663	23626
44	6791	23392
45	6925	23184
46	7068	23009
47	7191	22772
48	7330	22590
49	7477	22432
50	7636	22311
51	7767	22107
52	7901	21914
53	8039	21737
54	8178	21560
55	8310	21369
56	8441	21178
57	8558	20954
58	8670	20719
59	8782	20492
60	8898	20277
61	9018	20072
62	9138	19873
63	9255	19667
64	9449	19625
65	9576	19443
66	9687	19229
67	9796	19016
68	9906	18808
69	10026	18621
70	10140	18424
71	10251	18224
72	10361	18026
73	10471	17830
74	10577	17629
75	10696	17452
76	10816	17278
77	10926	17089
78	11041	16911
79	11163	16745
80	11280	16572
81	11399	16404
82	11519	16238
83	11632	16064
84	11751	15898
85	11874	15741
86	12002	15589
87	12127	15434
88	12258	15289
89	12374	15124
90	12494	14966
91	12616	14810
92	12733	14649
93	12846	14487
94	12965	14330
95	13086	14177
96	13214	14031
97	13341	13885
98	13460	13732
99	13575	13575
100	13691	13420
101	13809	13268
102	13920	13109
103	14037	12957
104	14152	12804
105	14261	12647
106	14373	12493
107	14490	12343
108	14602	12191
109	14712	12037
110	14823	11885
111	14929	11730
112	15043	11582
113	15148	11428
114	15254	11275
115	15359	11122
116	15467	10972
117	15578	10825
118	15682	10674
119	15783	10522
120	15883	10370
121	15993	10225
122	16102	10080
123	16203	9931
124	16307	9784
125	16407	9636
126	16507	9488
127	16607	9341
128	16715	9199
129	16822	9058
130	16924	8914
131	17032	8774
132	17138	8633
133	17246	8494
134	17357	8357
135	17457	8215
136	17556	8073
137	17659	7933
138	17765	7796
139	17865	7656
140	17962	7516
141	18064	7378
142	18171	7243
143	18282	7109
144	18394	6977
145	18509	6845
146	18616	6712
147	18718	6576
148	18819	6441
149	18920	6306
150	19024	6173
151	19128	6040
152	19235	5909
153	19334	5775
154	19434	5642
155	19534	5509
156	19637	5378
157	19740	5247
158	19846	5117
159	19949	4987
160	20053	4857
161	20152	4727
162	20252	4597
163	20351	4467
164	20448	4337
165	20547	4208
166	20646	4079
167	20746	3951
168	20850	3824
169	20955	3698
170	21066	3572
171	21164	3445
172	21261	3318
173	21369	3193
174	21475	3067
175	21575	2942
176	21676	2816
177	21774	2691
178	21875	2566
179	21978	2442
180	22082	2318
181	22184	2194
182	22297	2071
183	22404	1948
184	22504	1824
185	22603	1701
186	22703	1578
187	22807	1455
188	22909	1333
189	23013	1211
190	23116	1089
191	23217	967
192	23325	846
193	23426	724
194	23530	603
195	23631	482
196	23732	361
197	23834	240
198	23940	120
199	24046	0
